Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
4447084-0,800Do000000xRJAIA2,Auto,"T.L. Hart, Inc.",7086959,2023-03-01,2024-02-29,"2024 - T.L. Hart, Inc. - Renewal",Discovery
292254-0,800Do000000xRJUIA2,Auto,Frontier Building Corp.,7086961,2023-02-01,2024-01-31,2024 - Frontier Building Corp. - Renewal,Discovery
9018328-0,800Do000000xRJtIAM,Auto,Western Electric S. LLC,7086962,2023-03-01,2024-02-29,2024 - Western Electric S. LLC - Renewal,Discovery
9029670-0,800Do000000xRK3IAM,Auto,All Masonry and Decorative Concrete,7086964,2023-02-06,2024-02-05,2024 - All Masonry and Decorative Concrete - Renewal,Discovery
9029201-0,800Do000000xRK8IAM,Auto,Expert Construction & Restoration,7086965,2023-02-06,2024-02-05,2024 - Expert Construction & Restoration - Renewal,Discovery
7887016-0,800Do000000xRKIIA2,Auto,Sherwin Williams Paint,7086966,2023-02-01,2024-01-31,2024 - Sherwin Williams Paint - Renewal,Discovery
7639613-0,800Do000000xRMEIA2,Auto,DEP Flooring LLC,7086974,2023-03-01,2024-02-29,2024 - DEP Flooring LLC - Renewal,Discovery
9025404-0,800Do000000xRMOIA2,Auto,El Paso Roofing,7086975,2023-02-01,2024-01-31,2024 - El Paso Roofing - Renewal,Discovery
2049802-0,800Do000000xRMsIAM,Auto,"Mark Fence & Railing, Inc.",7086978,2023-03-01,2024-02-29,"2024 - Mark Fence & Railing, Inc. - Renewal",Discovery
253732-1,800Do000000xRN2IAM,Auto,SMS Services Inc.,7086979,2023-02-01,2025-01-31,2025 - SMS Services Inc. - Renewal,Discovery
7812142-0,800Do000000xRN7IAM,Manual,"NES Specialty Inspections, Inc.",7086980,2023-03-01,2025-02-28,"2025 - NES Specialty Inspections, Inc. - Renewal",Discovery
9028732-0,800Do000000xRNRIA2,Auto,Du-West Foundation Repair,7086982,2023-02-03,2024-02-02,2024 - Du-West - Renewal,Discovery
262036-0,800Do000000xRNbIAM,Auto,Gemini Stage Lighting & Sound,7086984,2023-02-17,2025-02-16,2025 - Gemini Stage Lighting & Sound - Renewal,Discovery
9028776-0,800Do000000xRNgIAM,Auto,New Generation Construction B LLC,7086985,2023-03-01,2024-02-29,2024 - New Generation Construction B LLC - Renewal,Discovery
824025-0,800Do000000xRNqIAM,Manual,"Cascade Steel, Inc.",7086986,2023-03-01,2025-02-28,"2025 - Cascade Steel, Inc. - Renewal",Discovery
7787989-0,800Do000000xROAIA2,Auto,Towers Electric,7086988,2023-02-02,2025-02-01,2025 - Towers Electric - Renewal,Discovery
6620519-0,800Do000000xROKIA2,Auto,Aspen Land Surveying LLC,7086989,2023-02-08,2025-02-07,2025 - Aspen Land Surveying LLC - Renewal,Discovery
7351185-0,800Do000000xROPIA2,Manual,"Sierra Valley Painting, Inc.",7086990,2023-02-08,2024-02-07,"2024 - Sierra Valley Painting, Inc. - Renewal",Discovery
9030136-0,800Do000000xROZIA2,Auto,Ana's Cleaning Service,7086991,2023-02-10,2024-02-09,2024 - Ana's Cleaning Service - Renewal,Discovery
9028504-0,800Do000000xROoIAM,Auto,C & E Concrete Contractors LLC,7086994,2023-02-06,2024-02-05,2024 - C & E Concrete Contractors LLC - Renewal,Discovery
416507-0,800Do000000xROyIAM,Manual,Eight Brothers Development,7086996,2023-03-01,2025-02-28,2025 - Eight Brothers Development - Renewal,Discovery
6311736-0,800Do000000xRP3IAM,Manual,Clear Pane Window,7086997,2023-02-08,2024-02-07,2024 - Clear Pane Window - Renewal,Discovery
8987030-0,800Do000000xRPDIA2,Auto,Ironhorse Industries LLC,7086999,2023-02-07,2025-02-06,2025 - Ironhorse Industries LLC - Renewal,Discovery
7166332-0,800Do000000xRPIIA2,Auto,"Heritage Exteriors & Restoration, Inc.",7087000,2023-03-01,2025-02-28,"2025 - Heritage Exteriors & Restoration, Inc. - Renewal",Discovery
4267142-0,800Do000000xRPSIA2,Auto,"Bethel Electrical Construction Company of MD, LLC",7087001,2023-03-01,2024-02-29,"2024 - Bethel Electrical Construction Company of MD, LLC - Renewal",Discovery
357360-0,800Do000000xRPXIA2,Manual,Metal Crafters Sheet Metal Co.,7087002,2023-03-01,2024-02-29,2024 - Metal Crafters Sheet Metal Co. - Renewal,Discovery
5880072-0,800Do000000xRPcIAM,Auto,ASJ Wilson Construction LLC,7087003,2023-03-01,2024-02-29,2024 - ASJ Wilson Construction LLC - Renewal,Discovery
642411-0,800Do000000xRPhIAM,Auto,Lewis Exterminating Co.,7087004,2023-03-01,2024-02-29,2024 - Lewis Exterminating Co. - Renewal,Discovery
8636820-0,800Do000000xRPwIAM,Auto,Valued Electric LLC,7087005,2023-03-01,2024-02-29,2024 - Valued Electric LLC - Renewal,Discovery
98751-0,800Do000000xRQ1IAM,Auto,J.P. Painting & Son,7087006,2023-03-01,2024-02-29,2024 - J.P. Painting & Son - Renewal,Discovery
112567-0,800Do000000xRQ6IAM,Auto,All City Drywall Contractors Inc.,7087007,2023-03-01,2025-02-28,2025 - All City Drywall Contractors Inc. - Renewal,Discovery
88089-0,800Do000000xRQGIA2,Manual,Allied Blacktop Co.,7087008,2023-03-01,2025-02-28,2025 - Allied Blacktop Co. - Renewal,Discovery
6576313-0,800Do000000xRQLIA2,Auto,"Boelter Window, Siding & Roofing",7087009,2023-03-01,2025-02-28,"2025 - Boelter Window, Siding & Roofing - Renewal",Discovery
8625434-0,800Do000000xRQVIA2,Auto,D4 Solutions,7087010,2023-03-01,2025-02-28,2025 - D4 Solutions - Renewal,Discovery
4571167-0,800Do000000xRQaIAM,Auto,Joe Mahoney Electric,7087011,2023-03-01,2024-02-29,2024 - Joe Mahoney Electric - Renewal,Discovery
7082817-0,800Do000000xRQfIAM,Manual,Core & Saw LLC,7087012,2023-03-01,2025-02-28,2025 - Core & Saw LLC - Renewal,Discovery
8392107-0,800Do000000xRQkIAM,Auto,JMT Landscape Group,7087013,2023-03-01,2025-02-28,2025 - JMT Landscape Group - Renewal,Discovery
9029261-0,800Do000000xRlEIAU,Auto,PGMZ Remodeling & Designs,7087342,2023-03-01,2024-02-29,2024 - PGMZ Remodeling & Designs - Renewal,Discovery
8929377-0,800Do000000xRliIAE,Auto,"Courtesy Security, Inc. dba Securelion Security",7087344,2023-03-01,2024-02-29,"2024 - Courtesy Security, Inc. dba Securelion Security - Renewal",Discovery
8861819-0,800Do000000xRlnIAE,Auto,Wolf Disposal LLC,7087345,2023-03-01,2024-02-29,2024 - Wolf Disposal LLC - Renewal,Discovery
801969-1,800Do000000xRlsIAE,Auto,"The Paint Kings, Inc.",7087346,2023-03-01,2024-02-29,"2024 - The Paint Kings, Inc. - Renewal",Discovery
336752-0,800Do000000xRmMIAU,Manual,Fortin Electrical Contractors,7087348,2023-01-01,2024-12-31,2025 - Fortin Electrical Contractors - Renewal,Discovery
9014712-0,800Do000000xRmWIAU,Auto,"JSP Construction, Inc.",7087349,2023-03-01,2024-02-29,"2024 - JSP Construction, Inc. - Renewal",Discovery
20295-0,800Do000000xRmgIAE,Manual,"Bronson Electric, Inc.",7087350,2023-03-01,2025-02-28,"2025 - Bronson Electric, Inc. - Renewal",Discovery
461792-0,800Do000000xRmqIAE,Auto,Lane Construction Co.,7087351,2023-01-01,2023-12-31,2024 - Lane Construction Co. - Renewal,Discovery
500012-1,800Do000000xRnAIAU,Manual,"Master Wire Mfg. & Fence, Inc.",7087353,2023-01-01,2024-12-31,"2025 - Master Wire Mfg. & Fence, Inc. - Renewal",Discovery
9027244-0,800Do000000xRnKIAU,Auto,Steel Works,7087355,2023-02-03,2024-02-02,2024 - Steel Works     www.steelworks.com.co - Renewal,Discovery
4694485-0,800Do000000xRnUIAU,Auto,Swift Elevator,7087357,2023-01-01,2023-12-31,2024 - Swift Elevator - Renewal,Discovery
6161945-0,800Do000000xRnjIAE,Manual,Flow Dynamic Balancing LLC,7087359,2023-01-01,2024-12-31,2025 - Flow Dynamic Balancing LLC - Renewal,Discovery
8405450-0,800Do000000xRohIAE,Manual,Minuteman Floors,7087362,2023-01-01,2024-12-31,2025 - Minuteman Floors - Renewal,Discovery
238856-0,800Do000000xRowIAE,Auto,"AW Paint & Decorating, LLC",7087363,2023-01-01,2023-12-31,"2024 - AW Paint & Decorating, LLC - Renewal",Discovery
8569633-0,800Do000000xRpLIAU,Manual,Alfieri Mechanical,7087365,2023-01-01,2024-12-31,2025 - Alfieri Mechanical - Renewal,Discovery
7552908-0,800Do000000xRpaIAE,Manual,"Custom Glass & Shelf Improvement, Inc.",7087367,2023-01-01,2024-12-31,"2025 - Custom Glass & Shelf Improvement, Inc. - Renewal",Discovery
6889359-0,800Do000000xRq4IAE,Manual,G Fab LLC,7087369,2023-01-01,2024-12-31,2025 - G Fab LLC - Renewal,Discovery
9030117-0,800Do000000xRq9IAE,Auto,Ivy Creek Construction,7087370,2023-03-01,2024-02-29,2024 - Ivy Creek Construction - Renewal,Discovery
9030150-0,800Do000000xRqYIAU,Auto,AC Cleaning,7087374,2023-02-09,2025-02-08,2025 - AC CLEANING - Renewal,Discovery
1179270-0,800Do000000xRqdIAE,Auto,"PGA Mechanical Contractors, Inc.",7087375,2023-02-08,2025-02-07,"2025 - PGA Mechanical Contractors, Inc. - Renewal",Discovery
8522796-0,800Do000000xRrlIAE,Manual,"Orion Plastering, Inc.",7087378,2023-03-01,2024-02-28,"2024 - Orion Plastering, Inc. - Renewal",Discovery
9031012-0,800Do000000xRrvIAE,Auto,Moreno Flooring,7087379,2023-02-07,2024-02-06,2024 - Moreno Flooring - Renewal,Discovery
3742569-0,800Do000000xRs0IAE,Auto,Lubera Plumbing & Heating,7087380,2023-04-01,2025-03-31,2025 - Lubera Plumbing & Heating - Renewal,Discovery
9016538-0,800Do000000xRs5IAE,Auto,TGSD It Solutions,7087381,2023-03-01,2024-02-29,2024 - TGSD IT Solutions - Renewal,Discovery
8613489-0,800Do000000xRsAIAU,Auto,Nationwide Roofing & Construction,7087382,2023-03-01,2024-02-29,2024 - Nationwide Roofing & Construction - Renewal,Discovery
5851340-0,800Do000000xRsFIAU,Auto,"TLD Services, Inc.",7087383,2023-02-01,2025-01-31,"2025 - TLD Services, Inc. - Renewal",Discovery
234318-0,800Do000000xRsUIAU,Manual,"City Contracting, Inc.",7087385,2023-01-01,2024-12-31,"2025 - City Contracting, Inc. - Renewal",Discovery
709198-0,800Do000000xRsZIAU,Manual,Swerp Inc.,7087386,2023-01-01,2024-12-31,2025 - Swerp Inc. - Renewal,Discovery
704119-0,800Do000000xRseIAE,Auto,"The Blair Bros., Inc.",7087387,2023-02-08,2024-02-07,"2024 - The Blair Bros., Inc. - Renewal",Discovery
478437-0,800Do000000xRsoIAE,Manual,"Samson Concrete Construction, Inc.",7087389,2023-01-01,2024-12-31,"2025 - Samson Concrete Construction, Inc. - Renewal",Discovery
396293-0,800Do000000xRstIAE,Auto,"J. Hamilton Electric Company, Inc.",7087390,2023-01-01,2023-12-31,"2024 - J. Hamilton Electric Company, Inc. - Renewal",Discovery
4880654-0,800Do000000xRsyIAE,Manual,Kubat Equipment and Service Co.,7087391,2023-03-01,2024-02-29,2024 - Kubat Equipment and Service Co. - Renewal,Discovery
263384-0,800Do000000xRtXIAU,Manual,MGS Contracting LLC,7087394,2023-03-01,2025-02-28,2025 - MGS Contracting LLC - Renewal,Discovery
965037-0,800Do000000xRu6IAE,Manual,Refrigeration Control Co.,7087398,2023-03-01,2025-02-28,Renewal Opportunity,Discovery
290709-0,800Do000000xRuGIAU,Auto,"Lenny Szarek, Inc.",7087400,2023-02-10,2025-02-09,"2025 - Lenny Szarek, Inc. - Renewal",Discovery
9025920-0,800Do000000xRupIAE,Auto,Borges Painting LLC,7087403,2023-03-01,2024-02-29,2024 - Borges Painting LLC - Renewal,Discovery
462375-0,800Do000000xRuzIAE,Auto,"Metalite Truss Systems of Florida, Inc.",7087405,2023-03-01,2024-02-29,"2024 - Metalite Truss Systems of Florida, Inc. - Renewal",Discovery
5763772-0,800Do000000xRv9IAE,Auto,Vaggelas Construction Group,7087407,2023-02-28,2024-02-27,2024 - Vaggelas Construction Group - Renewal,Discovery
6534023-0,800Do000000xRvEIAU,Manual,R&M Fence,7087408,2023-03-01,2025-02-28,2025 - R&M Fence - Renewal,Discovery
924521-1,800Do000000xRvJIAU,Auto,"Voss Plumbing & Heating of Paynesville, Inc.",7087409,2023-03-01,2025-02-28,"2025 - Voss Plumbing & Heating of Paynesville, Inc. - Renewal",Discovery
503204-0,800Do000000xRvOIAU,Auto,MB Electric,7087410,2023-03-01,2025-02-28,2025 - MB Electric - Renewal,Discovery
238688-0,800Do000000xRvTIAU,Auto,"Olympic Glass & Metal, Inc.",7087411,2023-02-10,2024-02-09,"2024 - Olympic Glass & Metal, Inc. - Renewal",Discovery
498859-0,800Do000000xRvYIAU,Manual,"A Better Glass Shop, Inc.",7087412,2023-02-01,2025-01-31,"2025 - A Better Glass Shop, Inc. - Renewal",Discovery
835134-1,800Do000000xRvdIAE,Auto,Foundation Specialists LLC,7087413,2023-03-01,2025-02-28,2025 - Foundation Specialists LLC - Renewal,Discovery
7873524-0,800Do000000xRviIAE,Auto,Progressive Roofing - Texas,7087414,2023-03-01,2025-02-28,2025 - Progressive Roofing - Texas - Renewal,Discovery
9030556-0,800Do000000xRw7IAE,Auto,KC Interiors LLC,7087417,2023-02-09,2025-02-08,2025 - KC Interiors LLC - Renewal,Discovery
8725056-0,800Do000000xRwMIAU,Expire,"Dapper Plumbing, Heating & Air",7087419,2023-02-10,2024-02-09,"2024 - Dapper Plumbing, Heating & Electric - Renewal",Closed Lost
8042684-0,800Do000000xRwWIAU,Manual,Coastal Flooring Solutions,7087421,2023-01-01,2024-12-31,2025 - Coastal Flooring Solutions - Renewal,Discovery
9025887-0,800Do000000xRxKIAU,Auto,Everything We Touch We Clean,7087423,2023-01-26,2024-01-25,2024 - Everything We Touch We Clean - Renewal,Discovery
5968187-0,800Do000000xRxPIAU,Auto,Dobbs Construction LLC,7087424,2023-02-01,2024-01-31,2024 - Dobbs Construction LLC - Renewal,Discovery
9031010-0,800Do000000xRxUIAU,Auto,Bailey's Handyman Service,7087425,2023-03-01,2024-02-29,2024 - Bailey's Handyman Service - Renewal,Discovery
9029202-0,800Do000000xRxZIAU,Auto,Michaels Sealcoating LLC,7087426,2023-02-06,2024-02-05,2024 - Michaels Sealcoating LLC - Renewal,Discovery
9031122-0,800Do000000xRxeIAE,Auto,K&L Installations LLC,7087427,2023-03-01,2024-02-29,2024 - K&L Installations LLC - Renewal,Discovery
9030993-0,800Do000000xRxjIAE,Auto,Webster Family Painting,7087428,2023-03-01,2024-02-29,2024 - Webster Family Painting - Renewal,Discovery
8632279-0,800Do000000xRxoIAE,Auto,"Maldonado Nursery & Landscaping, Inc.",7087429,2023-02-10,2024-02-09,"2024 - Maldonado Nursery & Landscaping, Inc. - Renewal",Discovery
2618586-0,800Do000000xRxyIAE,Manual,Precise Striping LLC,7087431,2023-03-01,2025-02-28,2025 - Precise Striping LLC - Renewal,Discovery
390298-0,800Do000000xRy3IAE,Auto,Northeast Acoustical Ceilings Inc.,7087432,2023-03-01,2025-02-28,2025 - Northeast Acoustical Ceilings Inc. - Renewal,Discovery
8559943-0,800Do000000xRy8IAE,Manual,JMG Steel Corp.,7087433,2023-03-01,2024-02-29,2024 - JMG Steel Corp. - Renewal,Discovery
16658-0,800Do000000xRyDIAU,Auto,Innovative Air,7087434,2023-03-01,2025-02-28,2025 - Innovative Air - Renewal,Discovery
42950-0,800Do000000xRyIIAU,Auto,"LCD Commercial Flooring, Inc.",7087435,2023-03-01,2026-02-28,"2026 - LCD Commercial Flooring, Inc. - Renewal",Discovery
5573097-1,800Do000000xRyNIAU,Auto,Florida State Fence,7087436,2023-03-01,2025-02-28,2025 - Florida State Fence - Renewal,Discovery
5891591-0,800Do000000xRySIAU,Manual,Speed Cooling,7087437,2023-03-01,2025-02-28,2025 - Speed Cooling - Renewal,Discovery
228288-0,800Do000000xRycIAE,Auto,"Safety Down Under, Inc.",7087438,2023-03-01,2025-02-28,"2025 - Safety Down Under, Inc. - Renewal",Discovery
8622855-0,800Do000000xRyhIAE,Auto,"1st Choice Restoration Consultant, Inc.",7087439,2023-03-01,2025-02-28,"2025 - 1st Choice Restoration Consultant, Inc. - Renewal",Discovery
309819-0,800Do000000xRymIAE,Auto,Majestic Awnings and Outdoor Shade Structures,7087440,2023-03-01,2025-02-28,2025 - Majestic Awnings and Outdoor Shade Structures - Renewal,Discovery
472289-0,800Do000000xRyrIAE,Auto,The Liner Company Inc.,7087441,2023-03-01,2025-02-28,2025 - The Liner Company Inc. - Renewal,Discovery
9031499-0,800Do000000xS0xIAE,Auto,Express Jax Construction,7087445,2023-02-21,2024-02-20,2024 - Express Jax Construction - Renewal,Discovery
9025393-0,800Do000000xS12IAE,Auto,Midsota Ceilings,7087446,2023-02-27,2025-02-26,2025 - Midsota Ceilings - Renewal,Discovery
8782261-0,800Do000000xS17IAE,Auto,Becker Excavation,7087447,2023-02-01,2024-01-31,2024 - Becker Excavation - Renewal,Discovery
2343228-1,800Do000000xS1CIAU,Auto,Atomic Recycling,7087448,2023-02-01,2024-01-31,2024 - Atomic Recycling - Renewal,Discovery
9022372-0,800Do000000xS1RIAU,Auto,B. Daniels Corp.,7087450,2023-03-01,2024-02-29,2024 - B. Daniels Corp. - Renewal,Discovery
8623450-0,800Do000000xS1lIAE,Manual,Goodman Construction,7087452,2023-03-01,2025-02-28,2025 - Goodman Construction - Renewal,Discovery
2601003-0,800Do000000xS25IAE,Manual,Networx Cabling Systems Inc.,7087453,2023-03-01,2025-02-28,2025 - Networx Cabling Systems Inc. - Renewal,Discovery
8543613-0,800Do000000xS2KIAU,Auto,5 Star Electric LLC,7087455,2023-03-01,2024-02-29,2024 - 5 Star Electric LLC - Renewal,Discovery
6402065-0,800Do000000xS2PIAU,Auto,Nextgen Electric LLC,7087456,2023-03-01,2024-02-29,2024 - Nextgen Electric LLC. - Renewal,Discovery
5810005-0,800Do000000xS2UIAU,Manual,Rycon Construction Inc.,7087457,2023-03-01,2025-02-28,2025 - Rycon Construction Inc. - Renewal,Discovery
879-0,800Do000000xS2eIAE,Auto,All Access Services,7087458,2023-02-07,2024-02-06,2024 - All Access Services - Renewal,Discovery
8548514-0,800Do000000xS2jIAE,Auto,Stain Concepts,7087459,2023-03-01,2024-02-29,2024 - Stain Concepts - Renewal,Discovery
8968749-0,800Do000000xS2oIAE,Auto,Paradise Coast Contractors LLC,7087460,2023-03-06,2024-03-05,2024 - Paradise Coast Contractors LLC - Renewal,Discovery
5772245-0,800Do000000xS2yIAE,Manual,Renaissance Contracting,7087461,2023-02-13,2024-02-12,2024 - Renaissance Contracting - Renewal,Discovery
9030574-0,800Do000000xS33IAE,Auto,Iron Dawgs Abatement LLC,7087462,2023-02-13,2024-02-12,2024 - Iron Dawgs Abatement LLC - Renewal,Discovery
8971394-0,800Do000000xS38IAE,Auto,Elite Acoustical Ceilings LLC,7087463,2023-03-01,2024-02-29,2024 - Elite Acoustical Ceilings LLC - Renewal,Discovery
7680679-0,800Do000000xS3SIAU,Manual,Black Label Steel,7087466,2023-03-01,2025-02-28,2025 - Black Label Steel - Renewal,Discovery
9023309-0,800Do000000xS3XIAU,Auto,S & C Services,7087467,2023-02-10,2025-02-09,2025 - S & C Services - Renewal,Discovery
705360-0,800Do000000xS3mIAE,Manual,PacWest Drywall & Painting,7087469,2023-03-01,2025-02-28,2025 - PacWest Drywall & Painting - Renewal,Discovery
3662953-0,800Do000000xS3rIAE,Auto,Architectural Systems Inc.,7087470,2023-03-01,2025-02-28,2025 - Architectural Systems Inc. - Renewal,Discovery
2017655-0,800Do000000xS3wIAE,Manual,All Wired Up Electric,7087471,2023-03-01,2025-02-28,2025 - All Wired Up Electric - Renewal,Discovery
4207792-0,800Do000000xS46IAE,Auto,S & R Cabinetry & Builders LLC,7087472,2023-03-01,2025-02-28,2025 - S & R Cabinetry & Builders LLC - Renewal,Discovery
5125900-0,800Do000000xS4GIAU,Manual,Buckeye Fence Builders,7087473,2023-03-01,2025-02-28,2025 - Buckeye Fence Builders - Renewal,Discovery
3173320-0,800Do000000xS4QIAU,Manual,"Bluegrass Technologies, Corp.",7087474,2023-03-01,2025-02-28,"2025 - Bluegrass Technologies, Corp. - Renewal",Discovery
8813200-0,800Do000000xS4kIAE,Auto,Excellence Janitorial Services LLC,7087475,2023-02-13,2024-02-12,2024 - Excellence Janitorial Services LLC - Renewal,Discovery
9026727-0,800Do000000xS4pIAE,Auto,Colorado Block Pros Masonry,7087476,2023-02-07,2024-02-06,2024 - Colorado Block Pros Masonry - Renewal,Discovery
4192601-0,800Do000000xS4zIAE,Auto,UMC Builders LLC,7087478,2023-02-17,2024-02-16,2024 - UMC Builders LLC - Renewal,Discovery
714754-0,800Do000000xS59IAE,Manual,"TM Demolition, Inc.",7087480,2023-03-01,2025-02-28,"2025 - TM Demolition, Inc. - Renewal",Discovery
46099-0,800Do000000xS5JIAU,Manual,"Wright Heating & Cooling, Inc.",7087482,2023-03-01,2025-02-28,"2025 - Wright Heating & Cooling, Inc. - Renewal",Discovery
7230783-0,800Do000000xS5TIAU,Auto,Del Rose Cleaning Services,7087484,2023-03-01,2024-02-29,2024 - Del Rose Cleaning Services - Renewal,Discovery
8618248-0,800Do000000xS5sIAE,Auto,Potrykus Construction LLC,7087486,2023-01-31,2024-01-30,2024 - Potrykus Construction LLC - Renewal,Discovery
9030994-0,800Do000000xS62IAE,Auto,Excellence Stoneworks,7087487,2023-03-01,2024-02-29,2024 - Excellence Stoneworks - Renewal,Discovery
7511554-0,800Do000000xS67IAE,Manual,Arrow Exterior Design,7087488,2023-03-01,2025-02-28,2025 - Arrow Exterior Design - Renewal,Discovery
6277034-0,800Do000000xS6CIAU,Auto,Empire Roof Coatings LLC,7087489,2023-03-01,2025-02-28,2025 - Empire Roof Coatings LLC - Renewal,Discovery
5756143-0,800Do000000xS6RIAU,Auto,FASTSIGNS of Charlotte,7087490,2023-03-01,2024-02-29,2024 - FASTSIGNS of Charlotte - Renewal,Discovery
7209885-0,800Do000000xS6gIAE,Expire,Express Capital Funding,7087491,2023-03-01,2024-02-29,2024 - Express Capital Funding - Renewal,Closed Lost
275635-0,800Do000000xS6lIAE,Manual,Armin's Garage Doors LLC,7087492,2023-03-01,2025-02-28,2025 - Armin's Garage Doors LLC - Renewal,Discovery
6242356-0,800Do000000xS6qIAE,Manual,EBS Acoustical Ceilings,7087493,2023-03-01,2025-02-28,2025 - EBS Acoustical Ceilings - Renewal,Discovery
115586-0,800Do000000xS7KIAU,Auto,"Capital Builders Group, Inc.",7087494,2023-03-01,2025-02-28,"2025 - Capital Builders Group, Inc. - Renewal",Discovery
943487-0,800Do000000xZLZIA2,Auto,"KMH Steel Erectors, Inc.",7087495,2023-01-01,2023-12-31,"2024 - KMH Steel Erectors, Inc. - Renewal",Discovery
8845229-0,800Do000000xZLoIAM,Auto,Charge Electric LLC,7087497,2023-03-01,2024-02-29,2024 - Charge Electric LLC - Renewal,Discovery
8614024-0,800Do000000xZLtIAM,Auto,"Nordic Look USA, LLC",7087498,2023-03-01,2024-02-29,"2024 - Nordic Look USA, LLC - Renewal",Discovery
5767220-0,800Do000000xZLyIAM,Manual,Future Home Integration,7087499,2023-03-01,2025-02-28,2025 - Future Home Integration - Renewal,Discovery
361779-0,800Do000000xZMXIA2,Manual,UK Electric LLC,7087501,2023-02-01,2025-01-31,2025 - UK Electric LLC - Renewal,Discovery
5725772-0,800Do000000xZMrIAM,Auto,RH Landscape,7087502,2023-03-01,2024-02-29,2024 - RH Landscape - Renewal,Discovery
9022926-0,800Do000000xZN1IAM,Auto,Luna's Painting LLC,7087503,2023-03-01,2024-02-29,2024 - Luna's Painting LLC - Renewal,Discovery
5467559-0,800Do000000xZNGIA2,Auto,Associated Painting & Epoxy Floors,7087505,2023-02-01,2025-01-31,2025 - Associated Painting & Epoxy Floors - Renewal,Discovery
8966085-0,800Do000000xZNQIA2,Auto,Power Construction SC LLC,7087506,2023-03-01,2024-02-29,2024 - Power Construction SC LLC - Renewal,Discovery
8838081-0,800Do000000xZNVIA2,Auto,Arcann Companies,7087507,2023-02-09,2024-02-08,2024 - Arcann  Companies - Renewal,Discovery
5905380-0,800Do000000xZNaIAM,Auto,"Jet Electric Group, Inc.",7087508,2023-03-01,2024-02-29,"2024 - Jet Electric Group, Inc. - Renewal",Discovery
454714-0,800Do000000xZNfIAM,Auto,Ace Fence Co.,7087509,2023-03-01,2024-02-29,2024 - Ace Fence Co. - Renewal,Discovery
968465-0,800Do000000xZO4IAM,Auto,Mongiovi & Son,7087513,2023-03-01,2024-02-29,2024 - Mongiovi & Son - Renewal,Discovery
967220-0,800Do000000xZO9IAM,Manual,"A-Team Construction Unlimited, Inc.",7087514,2023-03-01,2025-02-28,"2025 - A-Team Construction Unlimited, Inc. - Renewal",Discovery
8285202-0,800Do000000xZOJIA2,Auto,MB Sitework,7087515,2023-03-01,2024-02-29,2024 - MB Sitework - Renewal,Discovery
5605184-0,800Do000000xZOOIA2,Manual,McClernon Grading & Excavating,7087516,2023-03-01,2025-02-28,2025 - McClernon Grading & Excavating - Renewal,Discovery
942909-0,800Do000000xZOiIAM,Manual,"Gage Brothers Caulking, Inc.",7087518,2023-03-01,2025-02-28,"2025 - Gage Brothers Caulking, Inc. - Renewal",Discovery
8938998-0,800Do000000xZOnIAM,Auto,R. Luis Construction Corp.,7087519,2023-03-01,2024-02-29,2024 - R. Luis Construction Corp. - Renewal,Discovery
5620698-0,800Do000000xZOxIAM,Auto,"McElhinny Brothers, Inc.",7087520,2023-02-01,2025-01-31,"2025 - McElhinny Brothers, Inc. - Renewal",Discovery
145395-0,800Do000000xZP2IAM,Manual,"North East Mechanical Solutions, Inc.",7087521,2023-03-01,2025-02-28,"2025 - North East Mechanical Solutions, Inc. - Renewal",Discovery
8866639-0,800Do000000xZPCIA2,Auto,RReal Concrete,7087522,2023-03-01,2024-02-29,2024 - RReal Concrete - Renewal,Discovery
5304405-0,800Do000000xZPHIA2,Auto,JMJ Contracting and Development LLC,7087523,2023-02-17,2024-02-16,2024 - JMJ Contracting and Development LLC - Renewal,Discovery
5976560-0,800Do000000xZPRIA2,Auto,Today's Labors,7087524,2023-02-13,2024-02-12,2024 - Today's Labors - Renewal,Discovery
7112066-0,800Do000000xZPWIA2,Auto,Woodstock Landscaping & Excavating LLC,7087525,2023-02-08,2024-02-07,2024 - Woodstock Landscaping & Excavating LLC - Renewal,Discovery
9020215-0,800Do000000xZPbIAM,Auto,Duston Dougherty Electric,7087526,2023-02-15,2024-02-14,2024 - Duston Dougherty Electric - Renewal,Discovery
8738764-0,800Do000000xZPqIAM,Auto,Atlantic Services LLC,7087527,2023-02-01,2024-01-31,2024 - Atlantic Services LLC - Renewal,Discovery
9029737-0,800Do000000xZPvIAM,Auto,Carolina Quality Fencing LLC,7087528,2023-03-01,2024-02-29,2024 - Carolina Quality Fencing LLC - Renewal,Discovery
8925183-0,800Do000000xZQ0IAM,Auto,Atlantic Plumbing Constructors LLC,7087529,2023-03-01,2024-02-29,2024 - Atlantic Plumbing Constructors LLC - Renewal,Discovery
4330841-0,800Do000000xZQ5IAM,Manual,Tristone Marble & Granite Shop,7087530,2023-03-01,2025-02-28,2025 - Tristone Marble & Granite Shop - Renewal,Discovery
1475166-1,800Do000000xZQFIA2,Auto,CALIFORNIA CUT & CORE INC,7087532,2024-01-01,2024-12-31,2025 - CALIFORNIA CUT & CORE INC - Renewal,Discovery
